year,region,crop,district,area_ha,production_ton,yield_kgha,source,price_week_date_from,price_week_date_to,usd_kzt_rate,domestic_usd_per_t,export_usd_per_t,notional_revenue_domestic_usd,notional_revenue_export_usd,export_uplift_usd
2025,Костанайская область,Пшеница,Наурзумский,209840.0,185398.7,910.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,38055253.94878471,48389060.7,10333806.751215294
2025,Костанайская область,Ячмень,Наурзумский,19400.0,17542.4,950.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,2401436.8319607503,3333056.0000000005,931619.1680392502
2025,Костанайская область,Подсолнечник,Сарыкольский,13545.0,24776.03,1830.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Сарыкольский,220106.4,475362.0,2160.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,97573616.36086011,124069482.0,26495865.63913989
2025,Костанайская область,Ячмень,Сарыкольский,21563.7,40169.63,1860.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,5498952.766339582,7632229.699999999,2133276.933660417
2025,Костанайская область,Подсолнечник,Узункольский,14930.0,27625.9,1850.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Узункольский,190804.82,434794.2099999999,2280.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,89246602.46814688,113481288.80999997,24234686.341853097
2025,Костанайская область,Ячмень,Узункольский,15554.4,17402.550000000003,1120.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,2382292.3055020156,3306484.5000000005,924192.1944979848
2025,Костанайская область,Подсолнечник,Федоровский,20439.2,29269.259999999995,1440.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Федоровский,226423.29,449525.0500000001,2000.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,92270279.85681747,117326038.05000003,25055758.193182558
2025,Костанайская область,Ячмень,Федоровский,29000.0,48950.95,1920.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,6701056.542404065,9300680.5,2599623.957595935
2025,Костанайская область,Пшеница,г.Костанай,1285.33,1892.7,1470.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,388498.83601592033,493994.7,105495.86398407968
2025,Костанайская область,Ячмень,г.Костанай,503.0,831.5,1650.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,113826.76975643946,157985.0,44158.23024356054
2025,Северо-Казахстанская область,Подсолнечник,Айыртауский район,14858.0,24371.370000000003,1639.9999999999998,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Айыртауский район,150080.5,326056.24,2170.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,66926860.94770833,85100678.64,18173817.69229167
2025,Северо-Казахстанская область,Ячмень,Айыртауский район,68213.5,144514.72,2130.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,19783095.321534958,27457796.8,7674701.478465043
2025,Северо-Казахстанская область,Подсолнечник,Акжарский район,5299.0,7428.5,1400.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Акжарский район,160238.1,247736.49,1550.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,50850815.23943028,64659223.89,13808408.650569722
2025,Северо-Казахстанская область,Ячмень,Акжарский район,28423.0,40205.83,1410.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,5503908.303399335,7639107.7,2135199.3966006655
2025,Северо-Казахстанская область,Подсолнечник,Аккайынский район,4296.0,7242.67,1689.9999999999998,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Аккайынский район,113587.5,294193.23,2590.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,60386605.07146612,76784433.03,16397827.958533883
2025,Северо-Казахстанская область,Ячмень,Аккайынский район,16438.6,43599.9,2650.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,5968533.70860347,8283981.0,2315447.2913965303
2025,Северо-Казахстанская область,Кукуруза,Есильский район,40.0,65.7,1639.9999999999998,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Подсолнечник,Есильский район,16142.0,20280.300000000003,1280.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Есильский район,130315.2,328497.97000000003,2530.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,67428054.61964005,85737970.17,18309915.55035995
2025,Северо-Казахстанская область,Ячмень,Есильский район,29266.4,87717.65000000001,3050.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,12007957.60688628,16666353.500000002,4658395.893113721
2025,Северо-Казахстанская область,Кукуруза,Жамбылский район,120.0,711.8000000000001,5930.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Подсолнечник,Жамбылский район,15836.0,30321.6,1910.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Жамбылский район,137501.0,292359.26,2130.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,60010161.2556009,76305766.86,16295605.6043991
2025,Северо-Казахстанская область,Ячмень,Жамбылский район,17406.0,38701.9,2220.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,5298030.379358683,7353361.0,2055330.6206413172
2025,Северо-Казахстанская область,Кукуруза,Кызылжарский район,250.0,364.8,1460.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Подсолнечник,Кызылжарский район,5034.0,5356.1,1060.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Кызылжарский район,95738.4,237054.1,2480.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,48658129.61525946,61871120.1,13212990.48474054
2025,Северо-Казахстанская область,Ячмень,Кызылжарский район,18075.0,46508.29000000001,2570.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,6366672.781233574,8836575.100000001,2469902.318766427
2025,Северо-Казахстанская область,Подсолнечник,Мамлютский район,3893.0,7851.700000000001,2020.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Мамлютский район,80856.7,199712.77,2470.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,40993384.41512929,52125032.97,11131648.55487071
2025,Северо-Казахстанская область,Ячмень,Мамлютский район,15210.0,35131.05,2310.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,4809204.9785351325,6674899.500000001,1865694.5214648684
2025,Северо-Казахстанская область,Кукуруза,Тайыншинский район,725.0,6250.0,8620.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Подсолнечник,Тайыншинский район,25923.0,37750.77,1460.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Тайыншинский район,281256.0,541701.88,1930.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,111190653.48319107,141384190.68,30193537.196808934
2025,Северо-Казахстанская область,Ячмень,Тайыншинский район,79221.0,153874.36000000002,1940.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,21064367.22446119,29236128.400000002,8171761.175538812
2025,Северо-Казахстанская область,Подсолнечник,Тимирязевский район,11194.0,21460.210000000003,1920.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Тимирязевский район,134986.3,298002.84,2210.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,61168572.12946508,77778741.24000001,16610169.110534929
2025,Северо-Казахстанская область,Ячмень,Тимирязевский район,15450.5,36006.82,2330.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,4929092.014193096,6841295.8,1912203.7858069036
2025,Северо-Казахстанская область,Подсолнечник,Уалихановский район,1031.0,1077.0,1040.0,stat_gov_kz_real,,,,,,,,
2025,Северо-Казахстанская область,Пшеница,Уалихановский район,94452.0,131377.5,1400.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,26966770.1319182,34289527.5,7322757.368081801
