year,gs_t2m_kelvin,gs_precip_m,gs_pot_evap_m,gs_soil_water_l1,gs_soil_water_l2,gs_solar_rad_jm2,gs_t2m_celsius,gs_precip_mm,gs_pot_evap_mm,gs_solar_rad_mjm2,source
2015,288.68033360979234,0.0013246969465500866,-0.007158094448553331,0.29935424517505793,0.29029301326791884,18980036.87247777,15.53,40.525,218.8066666666667,579.2955000000001,ERA5_real_gs
2016,289.3174390902713,0.0014573630123714378,-0.006954357375366902,0.294249706853587,0.2916540603179201,18756816.40351812,16.166666666666668,44.406666666666666,212.51999999999998,573.0355,ERA5_real_gs
2017,288.9705927351684,0.00111148361970216,-0.007544017138758214,0.2825224864271158,0.27817745739299776,19382244.038613394,15.821666666666667,33.946666666666665,230.56999999999996,591.9103333333334,ERA5_real_gs
2018,287.5128957712755,0.0014503846345327376,-0.006944267913164398,0.3086804201389621,0.3001793099058934,18310602.204555143,14.363333333333335,44.34,212.23666666666668,559.1358333333334,ERA5_real_gs
2019,288.51084568493604,0.0011711310170603292,-0.007653784639565297,0.2814676492717734,0.27268012804763225,19254150.837210964,15.361666666666666,35.598333333333336,234.22166666666666,588.3721666666667,ERA5_real_gs
2020,289.9538020794767,0.0012597873466308597,-0.008070572573258125,0.276060137702878,0.27325654707407676,19376478.22856872,16.80333333333333,38.461666666666666,246.525,591.8266666666667,ERA5_real_gs
2021,289.6146452650336,0.0008681891764509398,-0.008087949183507243,0.2622693385039119,0.26121027718647366,20071941.328766774,16.463333333333335,26.516666666666666,247.27833333333334,612.924,ERA5_real_gs
2022,289.6616435210072,0.0008509126076215951,-0.007559818270918897,0.2621602812110037,0.2593293952638909,18879427.97251497,16.513333333333332,26.05666666666667,231.15833333333333,576.7293333333333,ERA5_real_gs
2023,289.5236512078174,0.0006467397379246822,-0.004928949167919218,0.2764382283662994,0.2713328395400161,14115470.122829279,16.371666666666666,19.708333333333332,150.73166666666665,431.09916666666663,ERA5_real_gs
2024,288.4316707721188,0.0017295213958452042,-0.0063265907659187685,0.32652758887264965,0.32380142787890076,18253534.260363985,15.281666666666666,53.044999999999995,193.145,556.975,ERA5_real_gs
2025,289.98509614754914,0.0015127205551172488,-0.0071545833416474525,0.298025870138938,0.2882290239919902,18515193.901228655,16.834999999999997,46.18666666666667,218.51500000000001,565.388,ERA5_real_gs
