time,t2m_kelvin,precip_m,pot_evap_m,soil_water_l1,soil_water_l2,solar_rad_jm2,year,month,t2m_celsius,precip_mm,pot_evap_mm,solar_rad_mjm2,source
2010-12-01,260.3890253662641,0.0009231524581606378,-0.0005325831089528301,0.33902413826491273,0.30532484667113524,3009543.6774922037,2010,12,-12.76,28.62,16.51,93.296,ERA5_real
2011-01-01,254.13013111480583,0.00022449775482651316,-0.00011867665871833903,0.3386912197938772,0.2948377328144383,4407203.616026016,2011,1,-19.02,6.96,3.68,136.623,ERA5_real
2011-02-01,258.7123929130947,0.0007768222561715022,-0.00020626010329006112,0.336686649598175,0.29045649353736863,7578672.444640837,2011,2,-14.44,21.75,5.78,212.203,ERA5_real
2011-03-01,266.4995850375223,0.0008072073115504189,-0.0009420485189801226,0.365894224910853,0.3030395271381254,13146264.09951851,2011,3,-6.65,25.02,29.2,407.534,ERA5_real
2011-04-01,281.09204709134275,0.000999008122104278,-0.004640425473380281,0.3738079684549303,0.37064621573805673,17504194.84972135,2011,4,7.94,29.97,139.21,525.126,ERA5_real
2011-05-01,286.9476022463309,0.001219956771646231,-0.00827232183207163,0.26501201592546964,0.27267659561551816,21818634.17562348,2011,5,13.8,37.82,256.44,676.378,ERA5_real
2011-06-01,292.5855864046082,0.0023147882872456317,-0.00777063710638362,0.2986792664057137,0.2747509692659222,21197546.2481267,2011,6,19.44,69.44,233.12,635.926,ERA5_real
2011-07-01,293.82765034888774,0.002056011441843065,-0.008390014169942239,0.2872634077252937,0.27511011817193826,21605617.54194214,2011,7,20.68,63.74,260.09,669.774,ERA5_real
2011-08-01,290.8581169792295,0.001303087670977448,-0.0071351454277183085,0.27141212520158264,0.26069485752162985,17240495.271773454,2011,8,17.71,40.4,221.19,534.455,ERA5_real
2011-09-01,288.2187352714232,0.0008677898282769228,-0.006330900199393335,0.24964163794435448,0.24627218713046184,13397955.017916236,2011,9,15.07,26.03,189.93,401.939,ERA5_real
2011-10-01,279.25156494844344,0.00110987280894012,-0.002260202393977639,0.3109726185917077,0.2821194243612042,6892303.483762709,2011,10,6.1,34.41,70.07,213.661,ERA5_real
2011-11-01,265.6705691631965,0.0008623390134236177,-0.0010121885803375935,0.33160958377232636,0.30647511320487264,4119974.2732325704,2011,11,-7.48,25.87,30.37,123.599,ERA5_real
2011-12-01,259.63000462027554,0.0005009806601744284,-0.00014944782200808127,0.31926747288232227,0.2982384566972513,2971219.7989737582,2011,12,-13.52,15.53,4.63,92.108,ERA5_real
2012-01-01,255.5090888532664,0.00013178727033060107,-4.560228124070687e-05,0.31585007559059075,0.29188526518914826,4362033.3450260265,2012,1,-17.64,4.09,1.41,135.223,ERA5_real
2012-02-01,255.47641320971704,0.00022998085498251438,-0.00019095303495538998,0.3158521202948274,0.28813680446434775,7521801.463135737,2012,2,-17.67,6.67,5.54,218.132,ERA5_real
2012-03-01,268.4744889244987,0.001148589177645076,-0.0010672569291174136,0.35839579874501365,0.30667518734517807,11740849.060968276,2012,3,-4.68,35.61,33.08,363.966,ERA5_real
2012-04-01,284.02591589747016,0.0004901257180660158,-0.006425063516963063,0.31919722316395094,0.3403196169045265,19318030.95165596,2012,4,10.88,14.7,192.75,579.541,ERA5_real
