year,region,crop,district,area_ha,production_ton,yield_kgha,source
2014,Костанайская область,Кукуруза,Область (итого),200.1,100.0,380.0,stat_gov_kz_real
2015,Костанайская область,Кукуруза,Область (итого),1.5,0.0,2200.0,stat_gov_kz_real
2016,Костанайская область,Кукуруза,Область (итого),11.6,0.0,590.0,stat_gov_kz_real
2017,Костанайская область,Кукуруза,Область (итого),181.9,200.0,1130.0,stat_gov_kz_real
2018,Костанайская область,Кукуруза,Область (итого),116.3,200.0,1350.0,stat_gov_kz_real
2019,Костанайская область,Кукуруза,Область (итого),2.6,0.0,2210.0,stat_gov_kz_real
2020,Костанайская область,Кукуруза,Область (итого),994.3,2000.0,2070.0,stat_gov_kz_real
2021,Костанайская область,Кукуруза,Область (итого),8730.0,11300.0,1290.0,stat_gov_kz_real
2022,Костанайская область,Кукуруза,Область (итого),11970.0,15000.0,1300.0,stat_gov_kz_real
2023,Костанайская область,Кукуруза,Область (итого),3450.0,4700.0,1370.0,stat_gov_kz_real
2024,Костанайская область,Кукуруза,Область (итого),860.0,2300.0,2730.0,stat_gov_kz_real
2025,Костанайская область,Кукуруза,Область (итого),1160.1,1921.2,1660.0000000000002,stat_gov_kz_real
1991,Костанайская область,Подсолнечник,Область (итого),10600.0,1250.0,120.0,stat_gov_kz_real
1992,Костанайская область,Подсолнечник,Область (итого),20800.0,2790.0,130.0,stat_gov_kz_real
1993,Костанайская область,Подсолнечник,Область (итого),10200.0,1590.0,160.0,stat_gov_kz_real
1994,Костанайская область,Подсолнечник,Область (итого),14300.0,1950.0,140.0,stat_gov_kz_real
1995,Костанайская область,Подсолнечник,Область (итого),16500.0,2350.0,140.0,stat_gov_kz_real
1996,Костанайская область,Подсолнечник,Область (итого),23100.0,2170.0,90.0,stat_gov_kz_real
1997,Костанайская область,Подсолнечник,Область (итого),11600.0,1730.0,160.0,stat_gov_kz_real
1998,Костанайская область,Подсолнечник,Область (итого),5800.0,310.0,60.0,stat_gov_kz_real
1999,Костанайская область,Подсолнечник,Область (итого),5800.0,1610.0,270.0,stat_gov_kz_real
2000,Костанайская область,Подсолнечник,Область (итого),14000.0,2060.0,180.0,stat_gov_kz_real
2001,Костанайская область,Подсолнечник,Область (итого),5900.0,1950.0,330.0,stat_gov_kz_real
2002,Костанайская область,Подсолнечник,Область (итого),5700.0,1710.0000000000002,310.0,stat_gov_kz_real
2003,Костанайская область,Подсолнечник,Область (итого),8300.0,4340.0,520.0,stat_gov_kz_real
2004,Костанайская область,Подсолнечник,Область (итого),11200.0,1290.0,120.0,stat_gov_kz_real
2005,Костанайская область,Подсолнечник,Область (итого),8600.0,4110.0,480.0,stat_gov_kz_real
2006,Костанайская область,Подсолнечник,Область (итого),10300.0,1810.0,190.0,stat_gov_kz_real
2007,Костанайская область,Подсолнечник,Область (итого),3400.0,2460.0,740.0,stat_gov_kz_real
2008,Костанайская область,Подсолнечник,Область (итого),4700.0,2500.0,540.0,stat_gov_kz_real
2009,Костанайская область,Подсолнечник,Область (итого),7700.0,4340.0,560.0,stat_gov_kz_real
2010,Костанайская область,Подсолнечник,Область (итого),31000.0,10559.999999999998,380.0,stat_gov_kz_real
2011,Костанайская область,Подсолнечник,Область (итого),46900.0,30990.0,660.0,stat_gov_kz_real
2012,Костанайская область,Подсолнечник,Область (итого),36805.5,14350.0,441.52,stat_gov_kz_real
2013,Костанайская область,Подсолнечник,Область (итого),88800.0,65630.0,769.11,stat_gov_kz_real
2014,Костанайская область,Подсолнечник,Область (итого),138100.0,91390.0,720.0,stat_gov_kz_real
2015,Костанайская область,Подсолнечник,Область (итого),93700.0,65560.0,722.27,stat_gov_kz_real
2016,Костанайская область,Подсолнечник,Область (итого),79975.91,68127.825,876.4699999999999,stat_gov_kz_real
2017,Костанайская область,Подсолнечник,Область (итого),76300.0,57920.0,790.0,stat_gov_kz_real
2018,Костанайская область,Подсолнечник,Область (итого),58800.0,54870.00000000001,932.59,stat_gov_kz_real
2019,Костанайская область,Подсолнечник,Область (итого),53200.0,30919.999999999996,587.64,stat_gov_kz_real
2020,Костанайская область,Подсолнечник,Область (итого),46300.0,43760.00000000001,960.0,stat_gov_kz_real
2021,Костанайская область,Подсолнечник,Область (итого),83900.0,57440.0,780.0,stat_gov_kz_real
