lat,lon,property,depth,value_raw,value,unit,source
51.5,65.0,cec,30-60cm,231,23.1,mmol(c)/kg,SoilGrids_v2
51.5,65.0,clay,0-5cm,225,22.5,g/kg,SoilGrids_v2
51.5,65.0,clay,5-15cm,247,24.7,g/kg,SoilGrids_v2
51.5,65.0,clay,15-30cm,261,26.1,g/kg,SoilGrids_v2
51.5,65.0,clay,30-60cm,255,25.5,g/kg,SoilGrids_v2
51.5,65.0,nitrogen,0-5cm,452,4.52,cg/kg,SoilGrids_v2
51.5,65.0,nitrogen,5-15cm,296,2.96,cg/kg,SoilGrids_v2
51.5,65.0,nitrogen,15-30cm,183,1.83,cg/kg,SoilGrids_v2
51.5,65.0,nitrogen,30-60cm,147,1.47,cg/kg,SoilGrids_v2
51.5,65.0,phh2o,0-5cm,74,7.4,pH*10,SoilGrids_v2
51.5,65.0,phh2o,5-15cm,74,7.4,pH*10,SoilGrids_v2
51.5,65.0,phh2o,15-30cm,75,7.5,pH*10,SoilGrids_v2
51.5,65.0,phh2o,30-60cm,76,7.6,pH*10,SoilGrids_v2
51.5,65.0,sand,0-5cm,512,51.2,g/kg,SoilGrids_v2
51.5,65.0,sand,5-15cm,494,49.4,g/kg,SoilGrids_v2
51.5,65.0,sand,15-30cm,480,48.0,g/kg,SoilGrids_v2
51.5,65.0,sand,30-60cm,481,48.1,g/kg,SoilGrids_v2
51.5,65.0,silt,0-5cm,264,26.4,g/kg,SoilGrids_v2
51.5,65.0,silt,5-15cm,260,26.0,g/kg,SoilGrids_v2
51.5,65.0,silt,15-30cm,259,25.9,g/kg,SoilGrids_v2
51.5,65.0,silt,30-60cm,263,26.3,g/kg,SoilGrids_v2
51.5,65.0,soc,0-5cm,550,55.0,dg/kg,SoilGrids_v2
51.5,65.0,soc,5-15cm,299,29.9,dg/kg,SoilGrids_v2
51.5,65.0,soc,15-30cm,287,28.7,dg/kg,SoilGrids_v2
51.5,65.0,soc,30-60cm,175,17.5,dg/kg,SoilGrids_v2
51.5,68.0,bdod,0-5cm,104,1.04,cg/cm³,SoilGrids_v2
51.5,68.0,bdod,5-15cm,116,1.16,cg/cm³,SoilGrids_v2
51.5,68.0,bdod,15-30cm,128,1.28,cg/cm³,SoilGrids_v2
51.5,68.0,bdod,30-60cm,138,1.38,cg/cm³,SoilGrids_v2
51.5,68.0,cec,0-5cm,251,25.1,mmol(c)/kg,SoilGrids_v2
51.5,68.0,cec,5-15cm,242,24.2,mmol(c)/kg,SoilGrids_v2
51.5,68.0,cec,15-30cm,222,22.2,mmol(c)/kg,SoilGrids_v2
51.5,68.0,cec,30-60cm,189,18.9,mmol(c)/kg,SoilGrids_v2
51.5,68.0,clay,0-5cm,232,23.2,g/kg,SoilGrids_v2
51.5,68.0,clay,5-15cm,248,24.8,g/kg,SoilGrids_v2
51.5,68.0,clay,15-30cm,247,24.7,g/kg,SoilGrids_v2
51.5,68.0,clay,30-60cm,253,25.3,g/kg,SoilGrids_v2
51.5,68.0,nitrogen,0-5cm,486,4.86,cg/kg,SoilGrids_v2
51.5,68.0,nitrogen,5-15cm,322,3.22,cg/kg,SoilGrids_v2
51.5,68.0,nitrogen,15-30cm,251,2.51,cg/kg,SoilGrids_v2
51.5,68.0,nitrogen,30-60cm,224,2.24,cg/kg,SoilGrids_v2
51.5,68.0,phh2o,0-5cm,72,7.2,pH*10,SoilGrids_v2
51.5,68.0,phh2o,5-15cm,73,7.3,pH*10,SoilGrids_v2
51.5,68.0,phh2o,15-30cm,74,7.4,pH*10,SoilGrids_v2
51.5,68.0,phh2o,30-60cm,78,7.8,pH*10,SoilGrids_v2
51.5,68.0,sand,0-5cm,509,50.9,g/kg,SoilGrids_v2
51.5,68.0,sand,5-15cm,497,49.7,g/kg,SoilGrids_v2
51.5,68.0,sand,15-30cm,491,49.1,g/kg,SoilGrids_v2
51.5,68.0,sand,30-60cm,483,48.3,g/kg,SoilGrids_v2
51.5,68.0,silt,0-5cm,259,25.9,g/kg,SoilGrids_v2
51.5,68.0,silt,5-15cm,254,25.4,g/kg,SoilGrids_v2
51.5,68.0,silt,15-30cm,262,26.2,g/kg,SoilGrids_v2
51.5,68.0,silt,30-60cm,264,26.4,g/kg,SoilGrids_v2
51.5,68.0,soc,0-5cm,608,60.8,dg/kg,SoilGrids_v2
51.5,68.0,soc,5-15cm,313,31.3,dg/kg,SoilGrids_v2
51.5,68.0,soc,15-30cm,272,27.2,dg/kg,SoilGrids_v2
51.5,68.0,soc,30-60cm,226,22.6,dg/kg,SoilGrids_v2
51.5,71.0,bdod,0-5cm,99,0.99,cg/cm³,SoilGrids_v2
51.5,71.0,bdod,5-15cm,111,1.11,cg/cm³,SoilGrids_v2
51.5,71.0,bdod,15-30cm,126,1.26,cg/cm³,SoilGrids_v2
51.5,71.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
51.5,71.0,cec,0-5cm,328,32.8,mmol(c)/kg,SoilGrids_v2
51.5,71.0,cec,5-15cm,313,31.3,mmol(c)/kg,SoilGrids_v2
51.5,71.0,cec,15-30cm,288,28.8,mmol(c)/kg,SoilGrids_v2
51.5,71.0,cec,30-60cm,308,30.8,mmol(c)/kg,SoilGrids_v2
51.5,71.0,clay,0-5cm,247,24.7,g/kg,SoilGrids_v2
51.5,71.0,clay,5-15cm,256,25.6,g/kg,SoilGrids_v2
51.5,71.0,clay,15-30cm,300,30.0,g/kg,SoilGrids_v2
51.5,71.0,clay,30-60cm,314,31.4,g/kg,SoilGrids_v2
51.5,71.0,nitrogen,0-5cm,614,6.14,cg/kg,SoilGrids_v2
51.5,71.0,nitrogen,5-15cm,331,3.31,cg/kg,SoilGrids_v2
51.5,71.0,nitrogen,15-30cm,346,3.46,cg/kg,SoilGrids_v2
51.5,71.0,nitrogen,30-60cm,332,3.32,cg/kg,SoilGrids_v2
51.5,71.0,phh2o,0-5cm,69,6.9,pH*10,SoilGrids_v2
51.5,71.0,phh2o,5-15cm,70,7.0,pH*10,SoilGrids_v2
51.5,71.0,phh2o,15-30cm,71,7.1,pH*10,SoilGrids_v2
51.5,71.0,phh2o,30-60cm,73,7.3,pH*10,SoilGrids_v2
51.5,71.0,sand,0-5cm,420,42.0,g/kg,SoilGrids_v2
51.5,71.0,sand,5-15cm,409,40.9,g/kg,SoilGrids_v2
51.5,71.0,sand,15-30cm,401,40.1,g/kg,SoilGrids_v2
51.5,71.0,sand,30-60cm,388,38.8,g/kg,SoilGrids_v2
51.5,71.0,silt,0-5cm,333,33.3,g/kg,SoilGrids_v2
51.5,71.0,silt,5-15cm,334,33.4,g/kg,SoilGrids_v2
51.5,71.0,silt,15-30cm,299,29.9,g/kg,SoilGrids_v2
51.5,71.0,silt,30-60cm,298,29.8,g/kg,SoilGrids_v2
51.5,71.0,soc,0-5cm,597,59.7,dg/kg,SoilGrids_v2
51.5,71.0,soc,5-15cm,503,50.3,dg/kg,SoilGrids_v2
51.5,71.0,soc,15-30cm,467,46.7,dg/kg,SoilGrids_v2
51.5,71.0,soc,30-60cm,353,35.3,dg/kg,SoilGrids_v2
51.5,74.0,bdod,0-5cm,103,1.03,cg/cm³,SoilGrids_v2
51.5,74.0,bdod,5-15cm,116,1.16,cg/cm³,SoilGrids_v2
51.5,74.0,bdod,15-30cm,130,1.3,cg/cm³,SoilGrids_v2
51.5,74.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
51.5,74.0,cec,0-5cm,353,35.3,mmol(c)/kg,SoilGrids_v2
51.5,74.0,cec,5-15cm,331,33.1,mmol(c)/kg,SoilGrids_v2
51.5,74.0,cec,15-30cm,314,31.4,mmol(c)/kg,SoilGrids_v2
51.5,74.0,cec,30-60cm,312,31.2,mmol(c)/kg,SoilGrids_v2
51.5,74.0,clay,0-5cm,291,29.1,g/kg,SoilGrids_v2
51.5,74.0,clay,5-15cm,296,29.6,g/kg,SoilGrids_v2
51.5,74.0,clay,15-30cm,293,29.3,g/kg,SoilGrids_v2
51.5,74.0,clay,30-60cm,282,28.2,g/kg,SoilGrids_v2
51.5,74.0,nitrogen,0-5cm,489,4.89,cg/kg,SoilGrids_v2
51.5,74.0,nitrogen,5-15cm,291,2.91,cg/kg,SoilGrids_v2
51.5,74.0,nitrogen,15-30cm,273,2.73,cg/kg,SoilGrids_v2
51.5,74.0,nitrogen,30-60cm,227,2.27,cg/kg,SoilGrids_v2
51.5,74.0,phh2o,0-5cm,71,7.1,pH*10,SoilGrids_v2
51.5,74.0,phh2o,5-15cm,72,7.2,pH*10,SoilGrids_v2
51.5,74.0,phh2o,15-30cm,73,7.3,pH*10,SoilGrids_v2
51.5,74.0,phh2o,30-60cm,73,7.3,pH*10,SoilGrids_v2
51.5,74.0,sand,0-5cm,420,42.0,g/kg,SoilGrids_v2
51.5,74.0,sand,5-15cm,412,41.2,g/kg,SoilGrids_v2
51.5,74.0,sand,15-30cm,411,41.1,g/kg,SoilGrids_v2
51.5,74.0,sand,30-60cm,419,41.9,g/kg,SoilGrids_v2
51.5,74.0,silt,0-5cm,288,28.8,g/kg,SoilGrids_v2
51.5,74.0,silt,5-15cm,292,29.2,g/kg,SoilGrids_v2
51.5,74.0,silt,15-30cm,296,29.6,g/kg,SoilGrids_v2
51.5,74.0,silt,30-60cm,298,29.8,g/kg,SoilGrids_v2
51.5,74.0,soc,0-5cm,716,71.6,dg/kg,SoilGrids_v2
51.5,74.0,soc,5-15cm,441,44.1,dg/kg,SoilGrids_v2
51.5,74.0,soc,15-30cm,450,45.0,dg/kg,SoilGrids_v2
51.5,74.0,soc,30-60cm,374,37.4,dg/kg,SoilGrids_v2
53.0,62.0,bdod,0-5cm,102,1.02,cg/cm³,SoilGrids_v2
53.0,62.0,bdod,5-15cm,117,1.17,cg/cm³,SoilGrids_v2
53.0,62.0,bdod,15-30cm,131,1.31,cg/cm³,SoilGrids_v2
53.0,62.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
53.0,62.0,cec,0-5cm,285,28.5,mmol(c)/kg,SoilGrids_v2
53.0,62.0,cec,5-15cm,267,26.7,mmol(c)/kg,SoilGrids_v2
53.0,62.0,cec,15-30cm,242,24.2,mmol(c)/kg,SoilGrids_v2
53.0,62.0,cec,30-60cm,231,23.1,mmol(c)/kg,SoilGrids_v2
53.0,62.0,clay,0-5cm,270,27.0,g/kg,SoilGrids_v2
53.0,62.0,clay,5-15cm,283,28.3,g/kg,SoilGrids_v2
53.0,62.0,clay,15-30cm,305,30.5,g/kg,SoilGrids_v2
53.0,62.0,clay,30-60cm,296,29.6,g/kg,SoilGrids_v2
53.0,62.0,nitrogen,0-5cm,564,5.64,cg/kg,SoilGrids_v2
53.0,62.0,nitrogen,5-15cm,271,2.71,cg/kg,SoilGrids_v2
53.0,62.0,nitrogen,15-30cm,290,2.9,cg/kg,SoilGrids_v2
53.0,62.0,nitrogen,30-60cm,323,3.23,cg/kg,SoilGrids_v2
53.0,62.0,phh2o,0-5cm,70,7.0,pH*10,SoilGrids_v2
53.0,62.0,phh2o,5-15cm,72,7.2,pH*10,SoilGrids_v2
53.0,62.0,phh2o,15-30cm,73,7.3,pH*10,SoilGrids_v2
53.0,62.0,phh2o,30-60cm,74,7.4,pH*10,SoilGrids_v2
53.0,62.0,sand,0-5cm,446,44.6,g/kg,SoilGrids_v2
53.0,62.0,sand,5-15cm,436,43.6,g/kg,SoilGrids_v2
53.0,62.0,sand,15-30cm,420,42.0,g/kg,SoilGrids_v2
53.0,62.0,sand,30-60cm,425,42.5,g/kg,SoilGrids_v2
53.0,62.0,silt,0-5cm,285,28.5,g/kg,SoilGrids_v2
53.0,62.0,silt,5-15cm,281,28.1,g/kg,SoilGrids_v2
53.0,62.0,silt,15-30cm,274,27.4,g/kg,SoilGrids_v2
53.0,62.0,silt,30-60cm,279,27.9,g/kg,SoilGrids_v2
53.0,62.0,soc,0-5cm,684,68.4,dg/kg,SoilGrids_v2
53.0,62.0,soc,5-15cm,435,43.5,dg/kg,SoilGrids_v2
53.0,62.0,soc,15-30cm,380,38.0,dg/kg,SoilGrids_v2
53.0,62.0,soc,30-60cm,412,41.2,dg/kg,SoilGrids_v2
53.0,68.0,bdod,0-5cm,102,1.02,cg/cm³,SoilGrids_v2
53.0,68.0,bdod,5-15cm,114,1.14,cg/cm³,SoilGrids_v2
53.0,68.0,bdod,15-30cm,126,1.26,cg/cm³,SoilGrids_v2
53.0,68.0,bdod,30-60cm,142,1.42,cg/cm³,SoilGrids_v2
53.0,68.0,cec,0-5cm,441,44.1,mmol(c)/kg,SoilGrids_v2
53.0,68.0,cec,5-15cm,391,39.1,mmol(c)/kg,SoilGrids_v2
53.0,68.0,cec,15-30cm,368,36.8,mmol(c)/kg,SoilGrids_v2
53.0,68.0,cec,30-60cm,352,35.2,mmol(c)/kg,SoilGrids_v2
53.0,68.0,clay,0-5cm,239,23.9,g/kg,SoilGrids_v2
53.0,68.0,clay,5-15cm,249,24.9,g/kg,SoilGrids_v2
53.0,68.0,clay,15-30cm,236,23.6,g/kg,SoilGrids_v2
53.0,68.0,clay,30-60cm,251,25.1,g/kg,SoilGrids_v2
53.0,68.0,nitrogen,0-5cm,402,4.02,cg/kg,SoilGrids_v2
53.0,68.0,nitrogen,5-15cm,280,2.8,cg/kg,SoilGrids_v2
53.0,68.0,nitrogen,15-30cm,324,3.24,cg/kg,SoilGrids_v2
53.0,68.0,nitrogen,30-60cm,267,2.67,cg/kg,SoilGrids_v2
53.0,68.0,phh2o,0-5cm,67,6.7,pH*10,SoilGrids_v2
53.0,68.0,phh2o,5-15cm,69,6.9,pH*10,SoilGrids_v2
53.0,68.0,phh2o,15-30cm,70,7.0,pH*10,SoilGrids_v2
53.0,68.0,phh2o,30-60cm,73,7.3,pH*10,SoilGrids_v2
53.0,68.0,sand,0-5cm,426,42.6,g/kg,SoilGrids_v2
53.0,68.0,sand,5-15cm,416,41.6,g/kg,SoilGrids_v2
53.0,68.0,sand,15-30cm,442,44.2,g/kg,SoilGrids_v2
53.0,68.0,sand,30-60cm,429,42.9,g/kg,SoilGrids_v2
53.0,68.0,silt,0-5cm,335,33.5,g/kg,SoilGrids_v2
53.0,68.0,silt,5-15cm,335,33.5,g/kg,SoilGrids_v2
53.0,68.0,silt,15-30cm,323,32.3,g/kg,SoilGrids_v2
53.0,68.0,silt,30-60cm,320,32.0,g/kg,SoilGrids_v2
53.0,68.0,soc,0-5cm,623,62.3,dg/kg,SoilGrids_v2
53.0,68.0,soc,5-15cm,402,40.2,dg/kg,SoilGrids_v2
53.0,68.0,soc,15-30cm,183,18.3,dg/kg,SoilGrids_v2
53.0,68.0,soc,30-60cm,155,15.5,dg/kg,SoilGrids_v2
53.0,71.0,bdod,0-5cm,102,1.02,cg/cm³,SoilGrids_v2
53.0,71.0,bdod,5-15cm,119,1.19,cg/cm³,SoilGrids_v2
53.0,71.0,bdod,15-30cm,128,1.28,cg/cm³,SoilGrids_v2
53.0,71.0,bdod,30-60cm,140,1.4,cg/cm³,SoilGrids_v2
53.0,71.0,cec,0-5cm,444,44.4,mmol(c)/kg,SoilGrids_v2
53.0,71.0,cec,5-15cm,380,38.0,mmol(c)/kg,SoilGrids_v2
53.0,71.0,cec,15-30cm,362,36.2,mmol(c)/kg,SoilGrids_v2
53.0,71.0,cec,30-60cm,358,35.8,mmol(c)/kg,SoilGrids_v2
53.0,71.0,clay,0-5cm,241,24.1,g/kg,SoilGrids_v2
53.0,71.0,clay,5-15cm,241,24.1,g/kg,SoilGrids_v2
53.0,71.0,clay,15-30cm,240,24.0,g/kg,SoilGrids_v2
53.0,71.0,clay,30-60cm,250,25.0,g/kg,SoilGrids_v2
53.0,71.0,nitrogen,0-5cm,359,3.59,cg/kg,SoilGrids_v2
53.0,71.0,nitrogen,5-15cm,241,2.41,cg/kg,SoilGrids_v2
53.0,71.0,nitrogen,15-30cm,347,3.47,cg/kg,SoilGrids_v2
53.0,71.0,nitrogen,30-60cm,294,2.94,cg/kg,SoilGrids_v2
53.0,71.0,phh2o,0-5cm,67,6.7,pH*10,SoilGrids_v2
53.0,71.0,phh2o,5-15cm,68,6.8,pH*10,SoilGrids_v2
53.0,71.0,phh2o,15-30cm,69,6.9,pH*10,SoilGrids_v2
53.0,71.0,phh2o,30-60cm,71,7.1,pH*10,SoilGrids_v2
